Section,Room_Number,Capacity,Equipment,Resource_Availability,Specialty
A,1,2,"IV Pump, Syringe Pump",High,Pediatrics
A,2,1,"Ventilator, Oxygen Tank, Defibrillator, IV Pump",Low,General
A,3,3,"Oxygen Tank, Electrocardiogram (ECG), Defibrillator",High,General
A,4,3,"Electrocardiogram (ECG), IV Pump",Low,Neurology
A,5,4,Syringe Pump,Low,Trauma
A,6,3,"IV Pump, Oxygen Tank",Low,Trauma
A,7,2,"Blood Pressure Monitor, Oxygen Tank, IV Pump",High,Pediatrics
A,8,1,"Infusion Pump, Defibrillator, Electrocardiogram (ECG), Pulse Oximeter",Low,Cardiology
A,9,2,"Blood Pressure Monitor, IV Pump",Low,Neurology
A,10,1,"IV Pump, Infusion Pump, Blood Pressure Monitor, Heart Monitor",High,Trauma
A,11,4,Pulse Oximeter,Low,Neurology
A,12,4,"IV Pump, Ventilator, Oxygen Tank",High,Cardiology
A,13,2,"Heart Monitor, Infusion Pump, Defibrillator, Oxygen Tank",Medium,General
A,14,4,"Pulse Oximeter, Ventilator, Syringe Pump",Medium,Cardiology
A,15,1,"Blood Pressure Monitor, Oxygen Tank",Medium,Neurology
A,16,3,Infusion Pump,High,Trauma
A,17,2,"Oxygen Tank, Ventilator, Blood Pressure Monitor, Heart Monitor",Low,Cardiology
A,18,1,Infusion Pump,Medium,Pediatrics
B,1,2,"Blood Pressure Monitor, Pulse Oximeter, Defibrillator",Medium,Cardiology
B,2,4,Oxygen Tank,High,Cardiology
B,3,4,"Infusion Pump, Ventilator, IV Pump, Electrocardiogram (ECG)",Low,General
B,4,3,"Syringe Pump, Infusion Pump",Low,Neurology
B,5,1,Pulse Oximeter,Low,Neurology
B,6,3,Syringe Pump,High,General
B,7,1,"Syringe Pump, Defibrillator, Electrocardiogram (ECG), Oxygen Tank",High,Pediatrics
B,8,3,"Ventilator, IV Pump",Medium,Neurology
B,9,4,"IV Pump, Blood Pressure Monitor",High,Cardiology
B,10,3,Electrocardiogram (ECG),High,Cardiology
B,11,1,"Pulse Oximeter, IV Pump, Heart Monitor, Oxygen Tank",High,Neurology
B,12,2,Blood Pressure Monitor,Medium,Neurology
B,13,1,"Pulse Oximeter, Syringe Pump, Defibrillator",High,Trauma
B,14,4,"Blood Pressure Monitor, Ventilator",Medium,Pediatrics
B,15,2,"Ventilator, Syringe Pump, IV Pump",Medium,Cardiology
B,16,1,"Electrocardiogram (ECG), Infusion Pump, Blood Pressure Monitor",Medium,General
C,1,2,"Blood Pressure Monitor, Infusion Pump, Heart Monitor",High,Cardiology
C,2,4,"Pulse Oximeter, Blood Pressure Monitor, Electrocardiogram (ECG)",Medium,Pediatrics
C,3,3,"Oxygen Tank, Defibrillator, Pulse Oximeter",Low,Pediatrics
C,4,2,"IV Pump, Infusion Pump",Low,Pediatrics
C,5,4,Defibrillator,Low,General
C,6,3,"Electrocardiogram (ECG), Defibrillator",High,Pediatrics
C,7,3,"Defibrillator, Blood Pressure Monitor, Heart Monitor",High,Pediatrics
C,8,4,"Oxygen Tank, Infusion Pump, IV Pump",High,Cardiology
C,9,4,Heart Monitor,Medium,Neurology
C,10,1,Blood Pressure Monitor,High,Trauma
C,11,4,"Oxygen Tank, IV Pump",Low,General
C,12,4,"Blood Pressure Monitor, IV Pump, Pulse Oximeter",Medium,Neurology
